season,league,league_id,team_id,team_name,played,wins,draws,losses,points,goal_diff
2021,Premier League,39,50,Manchester City,38,29,6,3,93,73
2021,Premier League,39,40,Liverpool,38,28,8,2,92,68
2021,Premier League,39,49,Chelsea,38,21,11,6,74,43
2021,Premier League,39,47,Tottenham,38,22,5,11,71,29
2021,Premier League,39,42,Arsenal,38,22,3,13,69,13
2021,Premier League,39,33,Manchester United,38,16,10,12,58,0
2021,Premier League,39,48,West Ham,38,16,8,14,56,9
2021,Premier League,39,46,Leicester,38,14,10,14,52,3
2021,Premier League,39,51,Brighton,38,12,15,11,51,-2
2021,Premier League,39,39,Wolves,38,15,6,17,51,-5
2021,Premier League,39,34,Newcastle,38,13,10,15,49,-18
2021,Premier League,39,52,Crystal Palace,38,11,15,12,48,4
2021,Premier League,39,55,Brentford,38,13,7,18,46,-8
2021,Premier League,39,66,Aston Villa,38,13,6,19,45,-2
2021,Premier League,39,41,Southampton,38,9,13,16,40,-24
2021,Premier League,39,45,Everton,38,11,6,21,39,-23
2021,Premier League,39,63,Leeds,38,9,11,18,38,-37
2021,Premier League,39,44,Burnley,38,7,14,17,35,-19
2021,Premier League,39,38,Watford,38,6,5,27,23,-43
2021,Premier League,39,71,Norwich,38,5,7,26,22,-61
2021,La Liga,140,541,Real Madrid,38,26,8,4,86,49
2021,La Liga,140,529,Barcelona,38,21,10,7,73,30
2021,La Liga,140,530,Atletico Madrid,38,21,8,9,71,22
2021,La Liga,140,536,Sevilla,38,18,16,4,70,23
2021,La Liga,140,543,Real Betis,38,19,8,11,65,22
2021,La Liga,140,548,Real Sociedad,38,17,11,10,62,3
2021,La Liga,140,533,Villarreal,38,16,11,11,59,26
2021,La Liga,140,531,Athletic Club,38,14,13,11,55,7
2021,La Liga,140,532,Valencia,38,11,15,12,48,-5
2021,La Liga,140,727,Osasuna,38,12,11,15,47,-14
2021,La Liga,140,538,Celta Vigo,38,12,10,16,46,0
2021,La Liga,140,728,Rayo Vallecano,38,11,9,18,42,-11
2021,La Liga,140,797,Elche,38,11,9,18,42,-12
2021,La Liga,140,540,Espanyol,38,10,12,16,42,-13
2021,La Liga,140,546,Getafe,38,8,15,15,39,-8
2021,La Liga,140,798,Mallorca,38,10,9,19,39,-27
2021,La Liga,140,724,Cadiz,38,8,15,15,39,-16
2021,La Liga,140,715,Granada CF,38,8,14,16,38,-17
2021,La Liga,140,539,Levante,38,8,11,19,35,-25
2021,La Liga,140,542,Alaves,38,8,7,23,31,-34
2021,Serie A,135,489,AC Milan,38,26,8,4,86,38
2021,Serie A,135,505,Inter,38,25,9,4,84,52
2021,Serie A,135,492,Napoli,38,24,7,7,79,43
2021,Serie A,135,496,Juventus,38,20,10,8,70,20
